,user_progress_id,user_id,subchapter_id,chapter_taken_id,current_level,status_subchapter,user_progress_created_at,user_progress_updated_at,chapter_id,name,subchapter_created_at,subchapter_updated_at
23,UP00023,S0767,SCT00013,CHT00551,advanced,in-progress,2026-04-22 14:09:23,2026-04-23 14:26:23,CT00005,Hubungan Antar Sudut,2026-01-01,2026-01-01
24,UP00024,S0109,SCT00008,CHT00702,advanced,in-progress,2026-03-20 03:16:14,2026-03-21 03:33:14,CT00003,Skala,2026-01-01,2026-01-01
25,UP00025,S0422,SCT00007,CHT00318,beginner,done,2026-04-09 21:35:35,2026-04-10 21:52:35,CT00003,Konsep Rasio,2026-01-01,2026-01-01
26,UP00025,S0422,SCT00007,CHT00318,beginner,done,2026-04-25 09:09:07,2026-04-26 09:26:07,CT00003,Konsep Rasio,2026-01-01,2026-01-01
27,UP00026,S0330,SCT00010,CHT00932,advanced,not started,2026-04-09 15:13:31,2026-04-10 15:30:31,CT00004,Unsur-Unsur Bentuk Aljabar,2026-01-01,2026-01-01
28,UP00027,S0585,SCT00019,CHT00060,beginner,in-progress,2026-04-18 17:27:35,2026-04-19 17:44:35,CT00006,Diagram Batang,2026-01-01,2026-01-01
29,UP00028,S0488,SCT00019,CHT00060,intermediate,done,2026-04-27 04:45:33,2026-04-27 23:18:52,CT00006,Diagram Batang,2026-01-01,2026-01-01
30,UP00029,S0634,SCT00003,CHT00782,beginner,not started,2026-04-21 23:22:27,2026-04-22 23:39:27,CT00001,Faktor Bilangan Bulat,2026-01-01,2026-01-01
31,UP00030,S0498,SCT00019,CHT00977,beginner,done,2026-04-25 21:50:00,2026-04-26 22:07:00,CT00006,Diagram Batang,2026-01-01,2026-01-01
32,UP00031,S0299,SCT00016,CHT00669,advanced,done,2026-04-27 16:25:03,2026-04-27 23:18:52,CT00006,Investigasi Statistika,2026-01-01,2026-01-01
33,UP00032,S0047,SCT00003,CHT00559,advanced,done,2026-04-19 18:39:21,2026-04-20 18:56:21,CT00001,Faktor Bilangan Bulat,2026-01-01,2026-01-01
34,UP00033,S0769,SCT00002,CHT00106,beginner,in-progress,2026-04-27 09:06:30,2026-04-27 23:18:52,CT00001,Operasi Hitung Bilangan Bulat,2026-01-01,2026-01-01
35,UP00034,S0564,SCT00021,CHT01096,beginner,in-progress,2026-04-27 08:53:53,2026-04-27 23:18:52,CT00006,Memilih Diagram yang Tepat,2026-01-01,2026-01-01
36,UP00035,S0617,SCT00008,CHT00168,advanced,in-progress,2026-04-26 12:17:08,2026-04-27 12:34:08,CT00003,Skala,2026-01-01,2026-01-01
37,UP00036,S0287,SCT00018,CHT00404,beginner,done,2026-04-14 07:34:46,2026-04-15 07:51:46,CT00006,Diagram dalam Statistika,2026-01-01,2026-01-01
38,UP00037,S0941,SCT00013,CHT00201,advanced,in-progress,2026-04-24 08:31:37,2026-04-25 08:48:37,CT00005,Hubungan Antar Sudut,2026-01-01,2026-01-01
39,UP00038,S0460,SCT00013,CHT00697,beginner,not started,2026-03-20 02:37:15,2026-03-21 02:54:15,CT00005,Hubungan Antar Sudut,2026-01-01,2026-01-01
40,UP00039,S0180,SCT00021,CHT00228,advanced,in-progress,2026-04-09 01:17:17,2026-04-10 01:34:17,CT00006,Memilih Diagram yang Tepat,2026-01-01,2026-01-01
41,UP00040,S0664,SCT00010,CHT00651,intermediate,DONE,2026-04-18 00:17:20,2026-04-19 00:34:20,CT00004,Unsur-Unsur Bentuk Aljabar,2026-01-01,2026-01-01
42,UP00041,S0074,SCT00020,CHT00670,beginner,not started,2026-04-18 15:57:55,2026-04-19 16:14:55,CT00006,Diagram Lingkaran,2026-01-01,2026-01-01
43,UP00042,S0640,SCT00019,CHT00581,intermediate,in-progress,2026-04-23 07:29:11,2026-04-24 07:46:11,CT00006,Diagram Batang,2026-01-01,2026-01-01
44,UP00043,S0764,SCT00018,CHT01050,advanced,done,2026-04-18 06:33:24,2026-04-19 06:50:24,CT00006,Diagram dalam Statistika,2026-01-01,2026-01-01
45,UP00044,S0949,SCT00005,CHT00116,intermediate,done,2026-04-12 04:42:20,2026-04-13 04:59:20,CT00002,Membandingkan Bilangan Rasional,2026-01-01,2026-01-01
46,UP00045,S0374,SCT00016,CHT00469,advanced,not started,2026-03-09 17:04:13,2026-03-10 17:21:13,CT00006,Investigasi Statistika,2026-01-01,2026-01-01
47,UP00046,S0105,SCT00018,CHT00895,advanced,in-progress,2026-04-16 07:09:59,2026-04-17 07:26:59,CT00006,Diagram dalam Statistika,2026-01-01,2026-01-01
48,UP00047,S0815,SCT00001,CHT00807,intermediate,DONE,2026-04-13 06:47:01,2026-04-14 07:04:01,CT00001,Memahami Bilangan Bulat,2026-01-01,2026-01-01
49,UP00048,S0744,SCT00014,CHT00296,beginner,in-progress,2026-04-16 16:08:51,2026-04-17 16:25:51,CT00005,Arti Kesebangunan,2026-01-01,2026-01-01
50,UP00049,S0363,SCT00015,CHT00796,advanced,in-progress,2026-04-09 05:28:48,2026-04-10 05:45:48,CT00005,Kesebangunan pada Segitiga,2026-01-01,2026-01-01
51,UP00050,S0877,SCT00014,CHT00818,advanced,not started,2026-04-27 11:31:42,2026-04-27 23:18:52,CT00005,Arti Kesebangunan,2026-01-01,2026-01-01
52,UP00051,S0329,SCT00021,CHT00894,advanced,not started,2026-03-27 19:43:53,2026-03-28 20:00:53,CT00006,Memilih Diagram yang Tepat,2026-01-01,2026-01-01
53,UP00052,S0997,SCT00020,CHT00850,beginner,done,2026-04-21 04:04:44,2026-04-22 04:21:44,CT00006,Diagram Lingkaran,2026-01-01,2026-01-01
54,UP00053,S0009,SCT00020,CHT00033,advanced,in-progress,2026-04-27 06:31:55,2026-04-27 23:18:52,CT00006,Diagram Lingkaran,2026-01-01,2026-01-01
55,UP00054,S0013,SCT00011,CHT00706,beginner,not started,2026-04-19 11:55:47,2026-04-20 12:12:47,CT00004,Sifat-Sifat dan Operasi Aljabar,2026-01-01,2026-01-01
56,UP00055,S0428,SCT00005,CHT00028,advanced,in-progress,2026-04-24 23:47:48,2026-04-26 00:04:48,CT00002,Membandingkan Bilangan Rasional,2026-01-01,2026-01-01
57,UP00055,S0428,SCT00005,CHT00028,advanced,in-progress,2026-04-10 01:41:39,2026-04-11 01:58:39,CT00002,Membandingkan Bilangan Rasional,2026-01-01,2026-01-01
58,UP00056,S0194,SCT00002,CHT00496,advanced,not started,2026-04-15 17:42:27,2026-04-16 17:59:27,CT00001,Operasi Hitung Bilangan Bulat,2026-01-01,2026-01-01
59,UP00057,S0888,SCT00017,CHT01001,intermediate,in-progress,2026-04-20 20:59:44,2026-04-21 21:16:44,CT00006,Macam-Macam Data,2026-01-01,2026-01-01
60,UP00058,S0873,SCT00010,CHT00345,beginner,not started,2026-03-24 23:57:57,2026-03-26 00:14:57,CT00004,Unsur-Unsur Bentuk Aljabar,2026-01-01,2026-01-01
61,UP00059,S0486,SCT00017,CHT00430,advanced,done,2026-04-27 06:31:56,2026-04-27 23:18:52,CT00006,Macam-Macam Data,2026-01-01,2026-01-01
62,UP00060,S0663,SCT00001,CHT00121,intermediate,in-progress,2026-04-27 01:20:25,2026-04-27 23:18:52,CT00001,Memahami Bilangan Bulat,2026-01-01,2026-01-01
63,UP00061,S0859,SCT00009,CHT00377,beginner,not started,2026-04-25 17:44:55,2026-04-26 18:01:55,CT00003,Laju Perubahan Satuan,2026-01-01,2026-01-01
64,UP00062,S0424,SCT00009,CHT00417,advanced,in-progress,2026-04-26 13:46:46,2026-04-27 14:03:46,CT00003,Laju Perubahan Satuan,2026-01-01,2026-01-01
65,UP00063,S0638,SCT00013,CHT00371,intermediate,in-progress,2026-04-17 19:52:04,2026-04-18 20:09:04,CT00005,Hubungan Antar Sudut,2026-01-01,2026-01-01
66,UP00064,S0142,SCT00006,CHT00204,beginner,done,2026-04-26 14:42:39,2026-04-27 14:59:39,CT00002,Operasi Hitung Bilangan Rasional .,2026-01-01,2026-01-01
67,UP00065,S0022,SCT00015,CHT00676,beginner,done,2026-04-26 01:00:42,2026-04-27 01:17:42,CT00005,Kesebangunan pada Segitiga,2026-01-01,2026-01-01
68,UP00066,S0677,SCT00010,CHT00163,advanced,in-progress,2026-04-12 03:28:24,2026-04-13 03:45:24,CT00004,Unsur-Unsur Bentuk Aljabar,2026-01-01,2026-01-01
69,UP00067,S0432,SCT00021,CHT00105,advanced,in-progress,2026-03-23 08:48:50,2026-03-24 09:05:50,CT00006,Memilih Diagram yang Tepat,2026-01-01,2026-01-01
70,UP00068,S0362,SCT00011,CHT00165,intermediate,in-progress,2026-04-06 08:56:04,2026-04-07 09:13:04,CT00004,Sifat-Sifat dan Operasi Aljabar,2026-01-01,2026-01-01
71,UP00069,S0633,SCT00013,CHT00318,advanced,done,2026-04-23 01:39:47,2026-04-24 01:56:47,CT00005,Hubungan Antar Sudut,2026-01-01,2026-01-01
72,UP00069,S0633,SCT00013,CHT00318,advanced,done,2026-04-02 01:36:16,2026-04-03 01:53:16,CT00005,Hubungan Antar Sudut,2026-01-01,2026-01-01
73,UP00070,S0646,SCT00020,CHT00482,beginner,not started,2026-04-22 19:14:37,2026-04-23 19:31:37,CT00006,Diagram Lingkaran,2026-01-01,2026-01-01
74,UP00071,S0061,SCT00003,CHT00014,intermediate,done,2026-04-23 16:53:38,2026-04-24 17:10:38,CT00001,Faktor Bilangan Bulat,2026-01-01,2026-01-01
75,UP00072,S0044,SCT00018,CHT00091,beginner,done,2026-03-31 11:23:03,2026-04-01 11:40:03,CT00006,Diagram dalam Statistika,2026-01-01,2026-01-01
76,UP00073,S0646,SCT00014,CHT00988,advanced,not started,2026-04-02 00:00:00,2026-04-03 00:17:00,CT00005,Arti Kesebangunan,2026-01-01,2026-01-01
77,UP00074,S0973,SCT00008,CHT00834,beginner,done,2026-03-29 23:49:18,2026-03-31 00:06:18,CT00003,Skala,2026-01-01,2026-01-01
78,UP00075,S0938,SCT00010,CHT00292,intermediate,not started,2026-04-23 03:16:18,2026-04-24 03:33:18,CT00004,Unsur-Unsur Bentuk Aljabar,2026-01-01,2026-01-01
79,UP00076,S0638,SCT00008,CHT00861,intermediate,done,2026-04-25 13:11:05,2026-04-26 13:28:05,CT00003,Skala,2026-01-01,2026-01-01
80,UP00077,S0228,SCT00004,CHT00726,advanced,in-progress,2026-04-12 18:00:04,2026-04-13 18:17:04,CT00002,Di Antara Dua Bilangan Bulat,2026-01-01,2026-01-01
81,UP00078,S0324,SCT00021,CHT00341,intermediate,not started,2026-04-26 09:51:37,2026-04-27 10:08:37,CT00006,Memilih Diagram yang Tepat,2026-01-01,2026-01-01
82,UP00079,S0491,SCT00014,CHT00041,intermediate,in-progress,2026-04-20 11:14:54,2026-04-21 11:31:54,CT00005,Arti Kesebangunan,2026-01-01,2026-01-01
83,UP00080,S0830,SCT00003,CHT00391,beginner,in-progress,2026-04-04 22:36:49,2026-04-05 22:53:49,CT00001,Faktor Bilangan Bulat,2026-01-01,2026-01-01
84,UP00081,S0460,SCT00015,CHT00169,beginner,done,2026-04-23 04:19:08,2026-04-24 04:36:08,CT00005,Kesebangunan pada Segitiga,2026-01-01,2026-01-01
85,UP00082,S0969,SCT00013,CHT00007,advanced,not started,2026-04-26 03:03:28,2026-04-27 03:20:28,CT00005,Hubungan Antar Sudut,2026-01-01,2026-01-01
86,UP00083,S0778,SCT00020,CHT01128,intermediate,in-progress,2026-04-24 10:03:35,2026-04-25 10:20:35,CT00006,Diagram Lingkaran,2026-01-01,2026-01-01
87,UP00084,S0885,SCT00011,CHT01059,advanced,not started,2026-04-22 17:26:10,2026-04-23 17:43:10,CT00004,Sifat-Sifat dan Operasi Aljabar,2026-01-01,2026-01-01
88,UP00085,S0867,SCT00013,CHT00839,intermediate,done,2026-04-27 22:21:19,2026-04-27 23:18:52,CT00005,Hubungan Antar Sudut,2026-01-01,2026-01-01
89,UP00086,S0009,SCT00021,CHT01151,advanced,not started,2026-04-14 04:21:56,2026-04-15 04:38:56,CT00006,Memilih Diagram yang Tepat,2026-01-01,2026-01-01
90,UP00087,S0260,SCT00010,CHT00382,intermediate,in-progress,2026-04-11 20:20:58,2026-04-12 20:37:58,CT00004,Unsur-Unsur Bentuk Aljabar,2026-01-01,2026-01-01
91,UP00088,S0715,SCT00001,CHT00428,intermediate,done,2026-04-27 23:10:40,2026-04-27 23:18:52,CT00001,Memahami Bilangan Bulat,2026-01-01,2026-01-01
92,UP00088,S0715,SCT00001,CHT00428,intermediate,done,2026-04-27 20:04:07,2026-04-27 23:18:52,CT00001,Memahami Bilangan Bulat,2026-01-01,2026-01-01
93,UP00089,S0928,SCT00016,CHT01137,advanced,in-progress,2026-04-26 10:02:14,2026-04-27 10:19:14,CT00006,Investigasi Statistika,2026-01-01,2026-01-01
94,UP00090,S0248,SCT00009,CHT00131,intermediate,done,2026-04-15 19:58:42,2026-04-16 20:15:42,CT00003,Laju Perubahan Satuan,2026-01-01,2026-01-01
95,UP00091,S0716,SCT00006,CHT00832,intermediate,done,2026-04-17 05:35:01,2026-04-18 05:52:01,CT00002,Operasi Hitung Bilangan Rasional .,2026-01-01,2026-01-01
96,UP00092,S0158,SCT00005,CHT00192,advanced,not started,2026-04-26 05:43:17,2026-04-27 06:00:17,CT00002,Membandingkan Bilangan Rasional,2026-01-01,2026-01-01
97,UP00093,S0075,SCT00004,CHT00094,advanced,done,2026-03-20 06:47:41,2026-03-21 07:04:41,CT00002,Di Antara Dua Bilangan Bulat,2026-01-01,2026-01-01
98,UP00094,S0078,SCT00018,CHT00039,beginner,in-progress,2026-04-10 07:31:01,2026-04-11 07:48:01,CT00006,Diagram dalam Statistika,2026-01-01,2026-01-01
99,UP00095,S0878,SCT00006,CHT01040,beginner,in-progress,2026-04-15 15:31:26,2026-04-16 15:48:26,CT00002,Operasi Hitung Bilangan Rasional .,2026-01-01,2026-01-01
100,UP00096,S0158,SCT00012,CHT00692,advanced,not started,2026-04-27 12:38:19,2026-04-27 23:18:52,CT00004,Pemodelan dengan Bentuk Aljabar,2026-01-01,2026-01-01
101,UP00097,S0124,SCT00011,CHT00054,advanced,not started,2026-04-26 23:34:01,2026-04-27 23:18:52,CT00004,Sifat-Sifat dan Operasi Aljabar,2026-01-01,2026-01-01
102,UP00098,S0379,SCT00020,CHT00682,beginner,in-progress,2026-04-20 15:21:05,2026-04-21 15:38:05,CT00006,Diagram Lingkaran,2026-01-01,2026-01-01
103,UP00099,S0811,SCT00006,CHT00639,advanced,not started,2026-04-23 18:10:59,2026-04-24 18:27:59,CT00002,Operasi Hitung Bilangan Rasional .,2026-01-01,2026-01-01
104,UP00100,S0003,SCT00016,CHT00092,intermediate,done,2026-04-01 09:38:59,2026-04-02 09:55:59,CT00006,Investigasi Statistika,2026-01-01,2026-01-01
105,UP00101,S0279,SCT00021,CHT01090,intermediate,in-progress,2026-04-27 03:05:01,2026-04-27 23:18:52,CT00006,Memilih Diagram yang Tepat,2026-01-01,2026-01-01
106,UP00102,S0101,SCT00013,CHT00408,intermediate,in-progress,2026-04-26 23:01:59,2026-04-27 23:18:52,CT00005,Hubungan Antar Sudut,2026-01-01,2026-01-01
107,UP00103,S0217,SCT00008,CHT00952,intermediate,not started,2026-04-11 21:06:57,2026-04-12 21:23:57,CT00003,Skala,2026-01-01,2026-01-01
108,UP00103,S0217,SCT00008,CHT00952,intermediate,not started,2026-04-25 15:44:25,2026-04-26 16:01:25,CT00003,Skala,2026-01-01,2026-01-01
109,UP00104,S0700,SCT00020,CHT00876,intermediate,done,2026-04-14 22:01:56,2026-04-15 22:18:56,CT00006,Diagram Lingkaran,2026-01-01,2026-01-01
110,UP00105,S0483,SCT00006,CHT00238,intermediate,done,2026-04-24 11:09:45,2026-04-25 11:26:45,CT00002,Operasi Hitung Bilangan Rasional .,2026-01-01,2026-01-01
111,UP00106,S0221,SCT00021,CHT00870,beginner,not started,2026-04-13 23:07:16,2026-04-14 23:24:16,CT00006,Memilih Diagram yang Tepat,2026-01-01,2026-01-01
112,UP00107,S0502,SCT00013,CHT00520,beginner,done,2026-04-15 18:22:38,2026-04-16 18:39:38,CT00005,Hubungan Antar Sudut,2026-01-01,2026-01-01
113,UP00108,S0815,SCT00007,CHT00321,beginner,in-progress,2026-04-12 04:10:28,2026-04-13 04:27:28,CT00003,Konsep Rasio,2026-01-01,2026-01-01
114,UP00109,S0367,SCT00017,CHT00796,advanced,in-progress,2026-04-23 04:54:35,2026-04-24 05:11:35,CT00006,Macam-Macam Data,2026-01-01,2026-01-01
115,UP00110,S0800,SCT00021,CHT00116,beginner,done,2026-04-14 23:41:57,2026-04-15 23:58:57,CT00006,Memilih Diagram yang Tepat,2026-01-01,2026-01-01
116,UP00111,S0056,SCT00006,CHT00400,advanced,not started,2026-04-27 20:31:33,2026-04-27 23:18:52,CT00002,Operasi Hitung Bilangan Rasional .,2026-01-01,2026-01-01
117,UP00112,S0077,SCT00007,CHT00952,advanced,in-progress,2026-04-10 03:02:59,2026-04-11 03:19:59,CT00003,Konsep Rasio,2026-01-01,2026-01-01
118,UP00112,S0077,SCT00007,CHT00952,advanced,in-progress,2026-04-15 10:31:25,2026-04-16 10:48:25,CT00003,Konsep Rasio,2026-01-01,2026-01-01
119,UP00113,S0988,SCT00012,CHT00332,intermediate,not started,2026-04-23 00:48:17,2026-04-24 01:05:17,CT00004,Pemodelan dengan Bentuk Aljabar,2026-01-01,2026-01-01
120,UP00114,S0287,SCT00012,CHT00410,beginner,in-progress,2026-04-17 03:34:48,2026-04-18 03:51:48,CT00004,Pemodelan dengan Bentuk Aljabar,2026-01-01,2026-01-01
121,UP00115,S0958,SCT00016,CHT00612,beginner,in-progress,2026-03-30 06:21:05,2026-03-31 06:38:05,CT00006,Investigasi Statistika,2026-01-01,2026-01-01
122,UP00116,S0812,SCT00011,CHT00142,beginner,in-progress,2026-04-27 23:14:05,2026-04-27 23:18:52,CT00004,Sifat-Sifat dan Operasi Aljabar,2026-01-01,2026-01-01
123,UP00117,S0724,SCT00020,CHT00411,advanced,done,2026-04-23 12:14:01,2026-04-24 12:31:01,CT00006,Diagram Lingkaran,2026-01-01,2026-01-01
124,UP00118,S0660,SCT00021,CHT00535,intermediate,done,2026-04-25 07:18:08,2026-04-26 07:35:08,CT00006,Memilih Diagram yang Tepat,2026-01-01,2026-01-01
125,UP00119,S0090,SCT00008,CHT00454,beginner,in-progress,2026-04-21 10:09:25,2026-04-22 10:26:25,CT00003,Skala,2026-01-01,2026-01-01
126,UP00120,S0409,SCT00021,CHT00340,intermediate,in-progress,2026-04-24 07:47:39,2026-04-25 08:04:39,CT00006,Memilih Diagram yang Tepat,2026-01-01,2026-01-01
127,UP00121,S0293,SCT00011,CHT00847,advanced,DONE,2026-04-14 01:57:12,2026-04-15 02:14:12,CT00004,Sifat-Sifat dan Operasi Aljabar,2026-01-01,2026-01-01
128,UP00122,S0380,SCT00001,CHT01014,beginner,done,2026-04-20 10:44:05,2026-04-21 11:01:05,CT00001,Memahami Bilangan Bulat,2026-01-01,2026-01-01
129,UP00123,S0304,SCT00001,CHT00106,advanced,not started,2026-04-27 03:35:51,2026-04-27 23:18:52,CT00001,Memahami Bilangan Bulat,2026-01-01,2026-01-01
130,UP00124,S0240,SCT00003,CHT00833,beginner,in-progress,2026-04-27 02:22:06,2026-04-27 23:18:52,CT00001,Faktor Bilangan Bulat,2026-01-01,2026-01-01
131,UP00125,S0941,SCT00021,CHT00065,beginner,done,2026-04-23 07:12:01,2026-04-24 07:29:01,CT00006,Memilih Diagram yang Tepat,2026-01-01,2026-01-01
132,UP00126,S0821,SCT00012,CHT00247,beginner,not started,2026-03-09 02:01:12,2026-03-10 02:18:12,CT00004,Pemodelan dengan Bentuk Aljabar,2026-01-01,2026-01-01
133,UP00127,S0682,SCT00007,CHT00904,intermediate,not started,2026-04-26 13:22:05,2026-04-27 13:39:05,CT00003,Konsep Rasio,2026-01-01,2026-01-01
134,UP00128,S0514,SCT00020,CHT00451,advanced,not started,2026-04-22 22:49:33,2026-04-23 23:06:33,CT00006,Diagram Lingkaran,2026-01-01,2026-01-01
135,UP00129,S0885,SCT00005,CHT01134,intermediate,in-progress,2026-04-08 17:51:10,2026-04-09 18:08:10,CT00002,Membandingkan Bilangan Rasional,2026-01-01,2026-01-01
136,UP00130,S0385,SCT00021,CHT00350,intermediate,done,2026-04-26 17:14:32,2026-04-27 17:31:32,CT00006,Memilih Diagram yang Tepat,2026-01-01,2026-01-01
137,UP00130,S0385,SCT00021,CHT00350,intermediate,done,2026-04-26 19:29:00,2026-04-27 19:46:00,CT00006,Memilih Diagram yang Tepat,2026-01-01,2026-01-01
138,UP00131,S0681,SCT00008,CHT00359,intermediate,done,2026-03-17 07:19:41,2026-03-18 07:36:41,CT00003,Skala,2026-01-01,2026-01-01
139,UP00132,S0137,SCT00004,CHT00047,advanced,not started,2026-04-18 14:14:31,2026-04-19 14:31:31,CT00002,Di Antara Dua Bilangan Bulat,2026-01-01,2026-01-01
140,UP00133,S0497,SCT00004,CHT01153,advanced,in-progress,2026-04-21 17:20:41,2026-04-22 17:37:41,CT00002,Di Antara Dua Bilangan Bulat,2026-01-01,2026-01-01
141,UP00134,S0432,SCT00008,CHT00563,intermediate,in-progress,2026-04-27 21:30:31,2026-04-27 23:18:52,CT00003,Skala,2026-01-01,2026-01-01
142,UP00135,S0663,SCT00015,CHT00031,beginner,not started,2026-04-25 17:55:52,2026-04-26 18:12:52,CT00005,Kesebangunan pada Segitiga,2026-01-01,2026-01-01
143,UP00136,S0486,SCT00005,CHT00122,advanced,done,2026-04-15 06:17:58,2026-04-16 06:34:58,CT00002,Membandingkan Bilangan Rasional,2026-01-01,2026-01-01
144,UP00137,S0692,SCT00002,CHT00667,intermediate,not started,2026-04-27 18:54:28,2026-04-27 23:18:52,CT00001,Operasi Hitung Bilangan Bulat,2026-01-01,2026-01-01
145,UP00138,S0615,SCT00009,CHT00688,intermediate,done,2026-04-26 22:27:52,2026-04-27 22:44:52,CT00003,Laju Perubahan Satuan,2026-01-01,2026-01-01
146,UP00139,S0741,SCT00016,CHT01133,beginner,done,2026-04-24 12:13:34,2026-04-25 12:30:34,CT00006,Investigasi Statistika,2026-01-01,2026-01-01
147,UP00140,S0347,SCT00002,CHT00887,intermediate,not started,2026-04-02 15:48:36,2026-04-03 16:05:36,CT00001,Operasi Hitung Bilangan Bulat,2026-01-01,2026-01-01
148,UP00141,S0150,SCT00003,CHT00196,intermediate,done,2026-04-04 00:04:43,2026-04-05 00:21:43,CT00001,Faktor Bilangan Bulat,2026-01-01,2026-01-01
149,UP00142,S0925,SCT00002,CHT00330,advanced,in-progress,2026-04-23 10:48:15,2026-04-24 11:05:15,CT00001,Operasi Hitung Bilangan Bulat,2026-01-01,2026-01-01
150,UP00143,S0163,SCT00011,CHT00610,beginner,done,2026-04-16 16:35:42,2026-04-17 16:52:42,CT00004,Sifat-Sifat dan Operasi Aljabar,2026-01-01,2026-01-01
151,UP00144,S0153,SCT00005,CHT01002,advanced,in-progress,2026-04-15 06:12:34,2026-04-16 06:29:34,CT00002,Membandingkan Bilangan Rasional,2026-01-01,2026-01-01
152,UP00145,S0236,SCT00005,CHT00186,beginner,not started,2026-03-27 02:04:02,2026-03-28 02:21:02,CT00002,Membandingkan Bilangan Rasional,2026-01-01,2026-01-01
153,UP00146,S0786,SCT00021,CHT00462,intermediate,in-progress,2026-04-05 02:40:33,2026-04-06 02:57:33,CT00006,Memilih Diagram yang Tepat,2026-01-01,2026-01-01
