id,chapter_taken_id,subchapter_id,title,type,correct_answer,created_at,updated_at
AS00040,CHT01186,SCT00013,Assessment 40,placement,6.0,2024-02-03 21:08:56,2024-02-03 22:03:56
AS00041,CHT00951,SCT00012,Assessment 41,quiz_test,8.0,2024-12-20 11:24:45,2024-12-20 12:19:45
AS00042,CHT01186,SCT00002,Assessment 42,exam,14.0,2024-11-22 13:11:44,2024-11-22 13:26:44
AS00043,CHT00078,SCT00009,Assessment 43,quiz,25.0,2024-04-10 01:00:31,2024-04-10 01:29:31
AS00044,CHT00958,SCT00004,Assessment 44,exam,,2024-09-07 04:24:58,2024-09-07 05:20:58
AS00045,CHT00065,SCT00006,Assessment 45,exam,7.0,2024-09-23 08:14:43,2024-09-23 08:25:43
AS00046,CHT00366,SCT00018,Assessment 46,exam,22.0,2025-02-02 18:37:54,2025-02-02 19:17:54
AS00047,CHT00369,SCT00009,Assessment 47,quiz,18.0,2024-11-25 01:24:35,2024-11-25 02:23:35
AS00048,CHT00157,SCT00005,Assessment 48,placement,11.0,2024-10-22 07:47:28,2024-10-22 08:24:28
AS00049,CHT00247,SCT00006,Assessment 49,exam,5.0,2025-01-16 09:50:56,2025-01-16 10:46:56
AS00050,CHT00263,SCT00005,Assessment 50,quiz,12.0,2024-03-09 17:30:26,2024-03-09 18:27:26
AS00051,CHT00598,SCT00020,Assessment 51,placement,14.0,2024-04-14 05:00:24,2024-04-14 05:42:24
AS00052,CHT00992,SCT00006,Assessment 52,exam,14.0,2024-04-04 21:29:59,2024-04-04 21:57:59
AS00053,CHT00149,SCT00004,Assessment 53,placement,19.0,2024-01-15 09:51:09,2024-01-15 10:49:09
AS00054,CHT00840,SCT00009,Assessment 54,placement,15.0,2024-11-25 01:33:21,2024-11-25 01:43:21
AS00055,CHT00744,SCT00004,Assessment 55,quiz,21.0,2024-01-05 20:28:52,2024-01-05 21:26:52
AS00056,CHT00053,SCT00020,Assessment 56,quiz,7.0,2024-04-11 13:21:58,2024-04-11 14:08:58
AS00057,CHT00966,SCT00004,Assessment 57,exam,11.0,2024-08-09 16:38:31,2024-08-09 16:54:31
AS00058,CHT00334,SCT00001,Assessment 58,quiz,8.0,2025-03-22 14:04:43,2025-03-22 14:19:43
AS00059,CHT01092,SCT00008,Assessment 59,exam,23.0,2025-01-04 19:09:08,2025-01-04 20:08:08
AS00060,CHT00944,SCT00020,Assessment 60,exam,7.0,2024-05-17 22:56:01,2024-05-17 23:44:01
AS00061,CHT00344,SCT00001,Assessment 61,exam,6.0,2024-03-26 08:38:04,2024-03-26 09:33:04
AS00062,CHT01105,SCT00021,Assessment 62,exam,10.0,2024-01-16 19:40:41,2024-01-16 19:50:41
AS00063,CHT00818,SCT00007,Assessment 63,exam,19.0,2025-03-11 19:19:39,2025-03-11 19:49:39
AS00064,CHT00137,SCT00007,Assessment 64,exam,17.0,2025-03-24 01:36:44,2025-03-24 02:03:44
AS00065,CHT00450,SCT00003,Assessment 65,quiz_test,14.0,2024-04-22 21:42:41,2024-04-22 22:05:41
AS00066,CHT00324,SCT00016,Assessment 66,exam,13.0,2024-08-29 08:03:58,2024-08-29 08:39:58
AS00067,CHT01033,SCT00021,Assessment 67,quiz,18.0,2024-01-18 10:18:51,2024-01-18 10:25:51
AS00068,CHT00509,SCT00005,Assessment 68,placement,,2024-09-28 18:31:07,2024-09-28 19:25:07
AS00069,CHT00346,SCT00017,Assessment 69,quiz,20.0,2024-11-20 09:18:12,2024-11-20 09:25:12
AS00070,CHT00254,SCT00019,Assessment 70,placement,8.0,2025-03-21 07:56:13,2025-03-21 08:10:13
AS00071,CHT00936,SCT00009,Assessment 71,quiz,11.0,2024-04-02 22:50:43,2024-04-02 23:09:43
AS00072,CHT00534,SCT00002,Assessment 72,exam,,2024-08-09 19:17:42,2024-08-09 19:32:42
AS00073,CHT00325,SCT00007,Assessment 73,quiz_test,15.0,2024-04-17 04:46:57,2024-04-17 05:00:57
AS00074,CHT01156,SCT00010,Assessment 74,placement,10.0,2024-12-07 05:02:36,2024-12-07 05:38:36
AS00075,CHT00904,SCT00003,Assessment 75,exam,6.0,2024-06-26 01:14:58,2024-06-26 01:31:58
AS00076,CHT00226,SCT00016,Assessment 76,placement,23.0,2024-06-03 09:03:21,2024-06-03 09:35:21
AS00077,CHT00550,SCT00009,Assessment 77,exam,23.0,2024-12-30 10:09:07,2024-12-30 11:08:07
AS00078,CHT00723,SCT00003,Assessment 78,exam,23.0,2024-04-01 03:43:58,2024-04-01 04:24:58
AS00079,CHT00448,SCT00005,Assessment 79,exam,16.0,2024-03-29 01:27:09,2024-03-29 02:00:09
AS00080,CHT00557,SCT00004,Assessment 80,quiz,24.0,2025-03-20 06:14:58,2025-03-20 06:38:58
AS00081,CHT01197,SCT00016,Assessment 81,exam,12.0,2024-01-03 07:04:25,2024-01-03 07:54:25
AS00082,CHT00513,SCT00012,Assessment 82,quiz,8.0,2024-07-10 18:30:07,2024-07-10 19:06:07
AS00083,CHT01192,SCT00018,Assessment 83,quiz,14.0,2024-01-15 15:37:13,2024-01-15 16:37:13
AS00084,CHT00894,SCT00006,Assessment 84,quiz,8.0,2024-07-08 17:18:37,2024-07-08 18:01:37
AS00085,CHT00730,SCT00004,Assessment 85,quiz,7.0,2024-01-09 00:23:41,2024-01-09 01:18:41
AS00086,CHT00618,SCT00014,Assessment 86,quiz,23.0,2024-05-23 23:12:39,2024-05-23 23:27:39
AS00087,CHT01030,SCT00018,Assessment 87,placement,23.0,2024-10-19 13:28:39,2024-10-19 14:10:39
AS00088,CHT00503,SCT00004,Assessment 88,exam,,2024-03-05 10:49:50,2024-03-05 11:32:50
AS00089,CHT00447,SCT00002,Assessment 89,placement,23.0,2024-04-03 03:53:57,2024-04-03 04:25:57
AS00090,CHT01174,SCT00005,Assessment 90,placement,21.0,2024-07-18 00:49:42,2024-07-18 01:06:42
AS00091,CHT01191,SCT00014,Assessment 91,exam,24.0,2025-03-05 23:11:56,2025-03-06 00:09:56
AS00092,CHT00209,SCT00017,Assessment 92,placement,12.0,2025-02-19 19:11:18,2025-02-19 19:26:18
AS00093,CHT00722,SCT00003,Assessment 93,placement,22.0,2024-09-24 11:56:25,2024-09-24 12:37:25
AS00094,CHT01087,SCT00012,Assessment 94,placement,19.0,2024-01-07 01:32:02,2024-01-07 02:20:02
AS00095,CHT00513,SCT00013,Assessment 95,exam,15.0,2024-05-08 20:10:22,2024-05-08 20:42:22
AS00096,CHT00576,SCT00010,Assessment 96,placement,5.0,2024-08-04 07:17:15,2024-08-04 08:03:15
AS00097,CHT01033,SCT00009,Assessment 97,exam,20.0,2024-03-29 06:31:08,2024-03-29 06:56:08
AS00098,CHT00268,SCT00015,Assessment 98,exam,6.0,2024-10-06 01:46:35,2024-10-06 02:43:35
AS00099,CHT00026,SCT00016,Assessment 99,quiz,,2024-04-11 05:14:46,2024-04-11 05:52:46
AS00100,CHT00506,SCT00018,Assessment 100,placement,22.0,2025-02-02 01:13:27,2025-02-02 02:12:27
AS00101,CHT00681,SCT00007,Assessment 101,exam,21.0,2024-01-15 01:32:47,2024-01-15 02:10:47
AS00102,CHT01191,SCT00014,Assessment 102,quiz_test,8.0,2024-12-07 15:35:34,2024-12-07 16:31:34
AS00103,CHT00824,SCT00017,Assessment 103,placement,18.0,2024-06-08 06:03:12,2024-06-08 06:11:12
AS00104,CHT00238,SCT00003,Assessment 104,exam,17.0,2025-01-21 21:20:08,2025-01-21 21:43:08
AS00105,CHT00920,SCT00012,Assessment 105,exam,17.0,2024-01-07 08:26:27,2024-01-07 09:24:27
AS00106,CHT00215,SCT00014,Assessment 106,placement,25.0,2024-01-21 08:45:37,2024-01-21 09:15:37
AS00107,CHT01050,SCT00008,Assessment 107,quiz,13.0,2025-03-07 20:04:50,2025-03-07 20:51:50
AS00108,CHT00995,SCT00006,Assessment 108,exam,22.0,2024-05-25 11:03:39,2024-05-25 11:16:39
AS00109,CHT00676,SCT00018,Assessment 109,placement,19.0,2024-10-13 20:29:43,2024-10-13 20:50:43
AS00110,CHT00974,SCT00002,Assessment 110,exam,21.0,2025-02-21 01:11:24,2025-02-21 01:20:24
AS00111,CHT00605,SCT00015,Assessment 111,exam,24.0,2024-11-20 12:52:49,2024-11-20 13:51:49
AS00112,CHT00659,SCT00005,Assessment 112,placement,16.0,2024-01-07 01:28:42,2024-01-07 01:59:42
AS00113,CHT00278,SCT00012,Assessment 113,placement,25.0,2025-01-21 05:50:15,2025-01-21 06:06:15
AS00114,CHT00491,SCT00001,Assessment 114,placement,20.0,2024-08-02 01:59:02,2024-08-02 02:49:02
AS00115,CHT00657,SCT00009,Assessment 115,quiz,17.0,2024-10-12 05:16:33,2024-10-12 06:09:33
AS00116,CHT01185,SCT00010,Assessment 116,placement,13.0,2024-09-27 07:19:13,2024-09-27 07:57:13
AS00117,CHT00915,SCT00006,Assessment 117,placement,13.0,2024-09-20 01:24:00,2024-09-20 01:40:00
AS00118,CHT00232,SCT00017,Assessment 118,quiz,25.0,2024-08-13 09:10:48,2024-08-13 09:44:48
AS00119,CHT00949,SCT00019,Assessment 119,exam,16.0,2025-01-26 02:52:25,2025-01-26 03:41:25
AS00120,CHT00849,SCT00007,Assessment 120,exam,7.0,2024-03-24 10:51:23,2024-03-24 11:42:23
AS00121,CHT00844,SCT00015,Assessment 121,quiz,18.0,2024-12-05 18:56:01,2024-12-05 19:29:01
AS00122,CHT00253,SCT00008,Assessment 122,placement,24.0,2024-08-30 14:52:13,2024-08-30 15:07:13
AS00123,CHT00287,SCT00011,Assessment 123,quiz,13.0,2024-08-30 04:10:02,2024-08-30 04:36:02
AS00124,CHT00258,SCT00005,Assessment 124,exam,14.0,2024-09-09 05:49:19,2024-09-09 06:21:19
AS00125,CHT00073,SCT00017,Assessment 125,quiz,,2025-02-01 12:31:00,2025-02-01 12:59:00
AS00126,CHT00519,SCT00001,Assessment 126,exam,,2024-01-17 18:44:12,2024-01-17 19:02:12
AS00127,CHT00873,SCT00015,Assessment 127,placement,9.0,2024-10-04 19:55:48,2024-10-04 20:42:48
AS00128,CHT00818,SCT00009,Assessment 128,quiz,24.0,2024-03-17 08:43:22,2024-03-17 09:32:22
AS00129,CHT01099,SCT00003,Assessment 129,placement,20.0,2025-02-21 00:22:48,2025-02-21 00:58:48
AS00130,CHT00652,SCT00001,Assessment 130,placement,,2024-05-20 22:41:38,2024-05-20 23:14:38
AS00131,CHT00755,SCT00018,Assessment 131,placement,19.0,2024-04-19 18:43:40,2024-04-19 19:21:40
AS00132,CHT00584,SCT00001,Assessment 132,placement,16.0,2024-09-01 00:46:56,2024-09-01 01:40:56
AS00133,CHT01139,SCT00010,Assessment 133,placement,25.0,2024-01-01 03:13:57,2024-01-01 03:56:57
AS00134,CHT00575,SCT00012,Assessment 134,quiz,17.0,2024-07-05 18:02:53,2024-07-05 18:46:53
AS00135,CHT00299,SCT00018,Assessment 135,quiz,23.0,2024-07-10 03:34:28,2024-07-10 03:47:28
AS00136,CHT00646,SCT00004,Assessment 136,exam,15.0,2024-12-31 00:44:47,2024-12-31 01:08:47
AS00137,CHT00685,SCT00019,Assessment 137,quiz,25.0,2024-09-18 04:22:34,2024-09-18 04:49:34
AS00138,CHT00590,SCT00001,Assessment 138,exam,18.0,2024-08-13 10:05:14,2024-08-13 10:42:14
AS00139,CHT00243,SCT00017,Assessment 139,quiz,13.0,2024-04-07 06:39:37,2024-04-07 07:14:37
AS00140,CHT00592,SCT00001,Assessment 140,exam,18.0,2024-02-24 00:17:46,2024-02-24 00:50:46
AS00141,CHT00722,SCT00015,Assessment 141,placement,19.0,2024-08-20 01:34:08,2024-08-20 02:28:08
AS00142,CHT01181,SCT00009,Assessment 142,quiz,18.0,2024-11-21 02:15:49,2024-11-21 03:10:49
AS00143,CHT00461,SCT00017,Assessment 143,quiz,12.0,2024-07-27 15:35:35,2024-07-27 16:00:35
AS00144,CHT00439,SCT00008,Assessment 144,quiz,5.0,2024-05-20 02:13:29,2024-05-20 02:22:29
AS00145,CHT00770,SCT00012,Assessment 145,placement,24.0,2024-02-29 22:14:42,2024-02-29 22:22:42
AS00146,CHT00545,SCT00016,Assessment 146,placement,22.0,2024-09-15 03:43:35,2024-09-15 04:34:35
AS00147,CHT01077,SCT00018,Assessment 147,placement,22.0,2024-10-04 05:31:13,2024-10-04 06:28:13
AS00148,CHT00332,SCT00017,Assessment 148,exam,9.0,2025-02-18 17:07:26,2025-02-18 17:45:26
AS00149,CHT00233,SCT00021,Assessment 149,quiz,22.0,2024-12-11 01:21:10,2024-12-11 02:18:10
AS00150,CHT00919,SCT00014,Assessment 150,exam,16.0,2024-06-22 14:25:24,2024-06-22 14:58:24
AS00151,CHT00583,SCT00020,Assessment 151,quiz,15.0,2024-07-04 20:01:42,2024-07-04 21:00:42
AS00152,CHT00705,SCT00015,Assessment 152,placement,23.0,2024-04-27 19:01:42,2024-04-27 19:36:42
AS00153,CHT00202,SCT00005,Assessment 153,exam,8.0,2024-06-12 23:39:47,2024-06-13 00:36:47
AS00154,CHT01174,SCT00003,Assessment 154,placement,19.0,2024-02-04 17:24:49,2024-02-04 17:54:49
AS00155,CHT00050,SCT00019,Assessment 155,quiz,22.0,2025-03-17 13:27:46,2025-03-17 13:54:46
AS00156,CHT00933,SCT00013,Assessment 156,exam,7.0,2024-01-18 07:57:00,2024-01-18 08:18:00
AS00157,CHT00653,SCT00003,Assessment 157,quiz_test,7.0,2024-08-04 01:40:04,2024-08-04 02:33:04
AS00158,CHT00112,SCT00020,Assessment 158,exam,24.0,2024-07-28 06:01:09,2024-07-28 06:55:09
AS00159,CHT00993,SCT00006,Assessment 159,placement,10.0,2024-07-10 08:29:19,2024-07-10 08:36:19
AS00160,CHT00469,SCT00013,Assessment 160,quiz,9.0,2024-05-04 05:44:27,2024-05-04 06:34:27
AS00161,CHT00377,SCT00006,Assessment 161,placement,10.0,2025-01-21 12:18:16,2025-01-21 13:04:16
AS00162,CHT01049,SCT00017,Assessment 162,quiz,6.0,2024-02-16 01:30:07,2024-02-16 02:15:07
AS00163,CHT00379,SCT00006,Assessment 163,exam,13.0,2024-08-07 05:11:25,2024-08-07 06:01:25
AS00164,CHT00759,SCT00007,Assessment 164,placement,11.0,2025-01-14 09:02:35,2025-01-14 09:55:35
AS00165,CHT00460,SCT00004,Assessment 165,quiz,12.0,2025-02-06 22:29:22,2025-02-06 23:00:22
AS00166,CHT00665,SCT00009,Assessment 166,placement,24.0,2024-12-07 15:59:46,2024-12-07 16:46:46
AS00167,CHT00255,SCT00003,Assessment 167,quiz,10.0,2024-10-14 22:17:56,2024-10-14 23:11:56
AS00168,CHT00557,SCT00013,Assessment 168,exam,23.0,2024-05-12 16:45:38,2024-05-12 17:36:38
AS00169,CHT00538,SCT00017,Assessment 169,quiz,23.0,2024-09-01 19:13:14,2024-09-01 19:51:14
AS00170,CHT00851,SCT00010,Assessment 170,exam,6.0,2024-07-03 12:16:52,2024-07-03 13:04:52
AS00171,CHT00198,SCT00016,Assessment 171,quiz_test,6.0,2024-08-19 01:13:09,2024-08-19 02:02:09
AS00172,CHT01193,SCT00012,Assessment 172,quiz,19.0,2024-09-25 19:38:17,2024-09-25 20:23:17
AS00173,CHT01169,SCT00017,Assessment 173,placement,13.0,2024-04-29 03:06:05,2024-04-29 03:36:05
AS00174,CHT00650,SCT00011,Assessment 174,placement,9.0,2024-08-24 06:03:14,2024-08-24 06:20:14
AS00175,CHT00004,SCT00005,Assessment 175,quiz,,2024-10-01 09:45:40,2024-10-01 10:42:40
AS00176,CHT00083,SCT00014,Assessment 176,placement,18.0,2024-06-27 17:14:30,2024-06-27 18:10:30
AS00177,CHT00529,SCT00009,Assessment 177,exam,16.0,2024-05-16 22:41:38,2024-05-16 23:01:38
AS00178,CHT00851,SCT00010,Assessment 178,placement,12.0,2024-04-01 16:20:17,2024-04-01 16:59:17
AS00179,CHT00618,SCT00002,Assessment 179,quiz_test,17.0,2025-01-24 03:01:14,2025-01-24 03:43:14
AS00180,CHT00456,SCT00021,Assessment 180,placement,14.0,2024-12-07 07:02:34,2024-12-07 07:40:34
AS00181,CHT00441,SCT00012,Assessment 181,quiz,14.0,2024-01-05 08:56:46,2024-01-05 09:54:46
AS00182,CHT00826,SCT00004,Assessment 182,quiz,11.0,2024-07-25 05:40:43,2024-07-25 05:59:43
AS00183,CHT01127,SCT00021,Assessment 183,placement,18.0,2025-03-26 20:58:14,2025-03-26 21:30:14
AS00184,CHT00242,SCT00012,Assessment 184,placement,18.0,2024-04-02 01:59:42,2024-04-02 02:31:42
AS00185,CHT00699,SCT00004,Assessment 185,exam,5.0,2024-07-22 14:14:14,2024-07-22 14:27:14
AS00186,CHT00002,SCT00018,Assessment 186,exam,16.0,2024-01-10 19:01:51,2024-01-10 19:40:51
AS00187,CHT01044,SCT00007,Assessment 187,quiz_test,21.0,2024-02-02 14:39:54,2024-02-02 15:18:54
AS00188,CHT00051,SCT00014,Assessment 188,placement,15.0,2024-07-28 15:09:04,2024-07-28 15:51:04
AS00189,CHT00026,SCT00009,Assessment 189,exam,21.0,2024-03-03 05:01:09,2024-03-03 05:38:09
AS00190,CHT00972,SCT00004,Assessment 190,placement,13.0,2024-05-19 19:53:28,2024-05-19 20:43:28
AS00191,CHT00302,SCT00021,Assessment 191,quiz,8.0,2024-10-17 02:09:50,2024-10-17 02:16:50
AS00192,CHT00387,SCT00003,Assessment 192,exam,25.0,2025-01-04 19:34:29,2025-01-04 20:28:29
AS00193,CHT00476,SCT00014,Assessment 193,placement,13.0,2025-01-18 22:43:45,2025-01-18 23:26:45
AS00194,CHT01101,SCT00016,Assessment 194,placement,6.0,2025-02-28 17:47:29,2025-02-28 18:24:29
AS00195,CHT00978,SCT00019,Assessment 195,exam,7.0,2024-09-13 08:46:06,2024-09-13 09:07:06
AS00196,CHT00743,SCT00016,Assessment 196,placement,11.0,2024-01-24 03:16:24,2024-01-24 04:13:24
AS00197,CHT00093,SCT00012,Assessment 197,placement,16.0,2024-06-16 19:53:47,2024-06-16 20:26:47
AS00198,CHT00329,SCT00004,Assessment 198,quiz,8.0,2024-05-07 14:06:38,2024-05-07 14:38:38
AS00199,CHT01185,SCT00005,Assessment 199,exam,21.0,2025-02-02 11:04:22,2025-02-02 11:12:22
AS00200,CHT00697,SCT00009,Assessment 200,placement,25.0,2024-03-11 19:09:18,2024-03-11 20:08:18
